T1=69 T2=55 T3=32 T4=26 T5=3 T6=18 17:43:46
T1=92 T2=61 T3=49 T4=24 T5=53 T6=48 17:43:48
T1=78 T2=46 T3=7 T4=69 T5=38 T6=41 17:43:50
T1=23 T2=62 T3=40 T4=37 T5=48 T6=22 17:43:52
T1=1 T2=63 T3=39 T4=93 T5=80 T6=41 17:43:54
T1=33 T2=26 T3=71 T4=47 T5=78 T6=26 17:43:56
T1=46 T2=84 T3=73 T4=59 T5=26 T6=82 17:43:58
T1=78 T2=48 T3=96 T4=53 T5=39 T6=66 17:44:00
T1=89 T2=21 T3=48 T4=69 T5=15 T6=89 17:44:02
T1=69 T2=8 T3=48 T4=79 T5=46 T6=65 17:44:04
T1=26 T2=17 T3=67 T4=40 T5=88 T6=45 17:44:06
T1=18 T2=37 T3=84 T4=47 T5=54 T6=57 17:44:08
T1=66 T2=25 T3=19 T4=51 T5=67 T6=97 17:44:10
T1=33 T2=27 T3=28 T4=42 T5=53 T6=80 17:44:12
T1=19 T2=7 T3=90 T4=67 T5=4 T6=47 17:44:14
T1=11 T2=70 T3=79 T4=38 T5=82 T6=7 17:44:16
T1=35 T2=100 T3=53 T4=95 T5=30 T6=7 17:44:18
T1=32 T2=73 T3=49 T4=80 T5=80 T6=44 17:44:20
T1=26 T2=69 T3=66 T4=59 T5=20 T6=25 17:44:22
T1=34 T2=87 T3=47 T4=16 T5=50 T6=10 17:44:24
T1=37 T2=81 T3=12 T4=99 T5=15 T6=55 17:44:26
T1=83 T2=85 T3=38 T4=2 T5=73 T6=77 17:44:28
T1=93 T2=27 T3=57 T4=2 T5=52 T6=91 17:44:30
T1=65 T2=69 T3=45 T4=32 T5=60 T6=52 17:44:32
T1=77 T2=47 T3=58 T4=51 T5=49 T6=58 17:44:34
T1=80 T2=36 T3=34 T4=22 T5=48 T6=34 17:44:36
T1=39 T2=84 T3=25 T4=25 T5=16 T6=100 17:44:38
T1=94 T2=99 T3=52 T4=66 T5=56 T6=36 17:44:40
T1=88 T2=19 T3=52 T4=91 T5=83 T6=12 17:44:42
T1=53 T2=46 T3=33 T4=43 T5=58 T6=81 17:44:44
T1=29 T2=40 T3=56 T4=83 T5=35 T6=48 17:44:46
T1=43 T2=24 T3=41 T4=15 T5=61 T6=2 17:44:48
T1=87 T2=44 T3=96 T4=27 T5=80 T6=73 17:44:50
T1=98 T2=24 T3=63 T4=71 T5=76 T6=68 17:44:52
T1=72 T2=53 T3=44 T4=95 T5=34 T6=40 17:44:54
T1=80 T2=73 T3=30 T4=23 T5=24 T6=5 17:44:56
T1=95 T2=71 T3=40 T4=46 T5=66 T6=22 17:44:58
T1=17 T2=73 T3=61 T4=81 T5=49 T6=95 17:45:00
T1=43 T2=40 T3=82 T4=77 T5=52 T6=52 17:45:02
T1=3 T2=90 T3=63 T4=100 T5=9 T6=49 17:45:04
T1=12 T2=99 T3=54 T4=97 T5=96 T6=65 17:45:06
T1=80 T2=98 T3=77 T4=98 T5=6 T6=22 17:45:08
T1=31 T2=31 T3=36 T4=85 T5=4 T6=59 17:45:10
T1=82 T2=39 T3=7 T4=68 T5=33 T6=48 17:45:12
T1=45 T2=72 T3=91 T4=96 T5=57 T6=75 17:45:14
T1=76 T2=37 T3=38 T4=28 T5=9 T6=4 17:45:16
T1=93 T2=76 T3=5 T4=1 T5=27 T6=18 17:45:19
T1=40 T2=51 T3=91 T4=54 T5=43 T6=11 17:45:21
T1=37 T2=84 T3=94 T4=74 T5=16 T6=1 17:45:23
T1=17 T2=1 T3=70 T4=78 T5=18 T6=51 17:45:25
T1=85 T2=41 T3=4 T4=14 T5=80 T6=98 17:45:27
T1=78 T2=17 T3=77 T4=23 T5=76 T6=6 17:45:29
T1=58 T2=98 T3=99 T4=8 T5=5 T6=46 17:45:31
T1=23 T2=56 T3=63 T4=87 T5=53 T6=76 17:45:33
T1=19 T2=7 T3=88 T4=69 T5=21 T6=8 17:45:35
T1=65 T2=13 T3=89 T4=88 T5=14 T6=18 17:45:37
T1=29 T2=21 T3=12 T4=54 T5=68 T6=58 17:45:39
T1=63 T2=80 T3=11 T4=35 T5=19 T6=46 17:45:41
T1=83 T2=56 T3=54 T4=90 T5=25 T6=62 17:45:43
T1=4 T2=66 T3=34 T4=6 T5=85 T6=17 17:45:45
T1=1 T2=79 T3=96 T4=90 T5=88 T6=85 17:45:47
T1=54 T2=15 T3=91 T4=41 T5=13 T6=21 17:45:49
T1=78 T2=12 T3=8 T4=53 T5=4 T6=79 17:45:51
T1=9 T2=96 T3=81 T4=12 T5=27 T6=56 17:45:53
T1=86 T2=58 T3=95 T4=49 T5=83 T6=98 17:45:55
T1=48 T2=5 T3=51 T4=98 T5=36 T6=60 17:45:57
T1=24 T2=40 T3=29 T4=48 T5=67 T6=76 17:45:59
T1=42 T2=48 T3=67 T4=98 T5=22 T6=48 17:46:01
T1=88 T2=62 T3=42 T4=99 T5=10 T6=42 17:46:03
T1=60 T2=60 T3=29 T4=76 T5=8 T6=27 17:46:05
T1=46 T2=7 T3=91 T4=29 T5=60 T6=35 17:46:07
T1=35 T2=82 T3=97 T4=85 T5=51 T6=79 17:46:09
T1=22 T2=10 T3=19 T4=72 T5=45 T6=15 17:46:11
T1=17 T2=38 T3=51 T4=81 T5=89 T6=77 17:46:13
T1=70 T2=55 T3=40 T4=16 T5=61 T6=41 17:46:15
T1=54 T2=100 T3=35 T4=13 T5=98 T6=1 17:46:17
T1=31 T2=65 T3=82 T4=76 T5=54 T6=5 17:46:19
T1=70 T2=21 T3=72 T4=78 T5=56 T6=74 17:46:21
T1=75 T2=40 T3=95 T4=10 T5=72 T6=43 17:46:23
T1=51 T2=6 T3=60 T4=50 T5=78 T6=74 17:46:25
T1=48 T2=50 T3=30 T4=3 T5=13 T6=43 17:46:27
T1=23 T2=70 T3=87 T4=32 T5=79 T6=79 17:46:29
T1=53 T2=39 T3=98 T4=88 T5=58 T6=61 17:46:31
T1=33 T2=76 T3=92 T4=70 T5=79 T6=37 17:46:33
T1=66 T2=2 T3=61 T4=28 T5=51 T6=27 17:46:35
T1=90 T2=77 T3=30 T4=21 T5=26 T6=8 17:46:37
T1=25 T2=73 T3=11 T4=77 T5=99 T6=23 17:46:39
T1=35 T2=32 T3=55 T4=15 T5=70 T6=37 17:46:41
T1=66 T2=91 T3=92 T4=54 T5=99 T6=17 17:46:43
T1=30 T2=69 T3=18 T4=45 T5=59 T6=66 17:46:45
T1=97 T2=29 T3=23 T4=66 T5=60 T6=84 17:46:47
T1=55 T2=62 T3=39 T4=66 T5=22 T6=36 17:46:49
T1=14 T2=49 T3=43 T4=82 T5=78 T6=82 17:46:51
T1=44 T2=76 T3=19 T4=62 T5=84 T6=79 17:46:53
T1=8 T2=3 T3=30 T4=88 T5=54 T6=94 17:46:55
T1=16 T2=37 T3=98 T4=29 T5=21 T6=6 17:46:57
T1=43 T2=8 T3=37 T4=17 T5=83 T6=79 17:46:59
T1=71 T2=81 T3=38 T4=96 T5=13 T6=58 17:47:01
T1=36 T2=74 T3=19 T4=72 T5=74 T6=5 17:47:03
T1=79 T2=92 T3=20 T4=55 T5=43 T6=7 17:47:05
T1=16 T2=67 T3=33 T4=63 T5=9 T6=55 17:47:07
T1=68 T2=23 T3=45 T4=41 T5=29 T6=89 17:47:09
T1=7 T2=11 T3=20 T4=41 T5=75 T6=77 17:47:11
T1=60 T2=33 T3=15 T4=13 T5=11 T6=50 17:47:13
T1=5 T2=27 T3=62 T4=79 T5=55 T6=4 17:47:15
T1=61 T2=51 T3=26 T4=18 T5=64 T6=80 17:47:17
T1=57 T2=70 T3=10 T4=99 T5=64 T6=98 17:47:19
T1=37 T2=65 T3=20 T4=11 T5=78 T6=21 17:47:21
T1=52 T2=19 T3=82 T4=95 T5=49 T6=94 17:47:23
T1=7 T2=78 T3=45 T4=39 T5=40 T6=74 17:47:25
T1=30 T2=3 T3=100 T4=28 T5=10 T6=11 17:47:27
T1=87 T2=58 T3=62 T4=51 T5=85 T6=38 17:47:29
T1=100 T2=14 T3=54 T4=93 T5=25 T6=71 17:47:31
T1=10 T2=87 T3=67 T4=84 T5=7 T6=89 17:47:33
T1=18 T2=43 T3=28 T4=98 T5=48 T6=28 17:47:35
T1=1 T2=15 T3=60 T4=71 T5=64 T6=75 17:47:37
T1=42 T2=58 T3=95 T4=58 T5=92 T6=42 17:47:39
T1=16 T2=2 T3=62 T4=45 T5=99 T6=87 17:47:41
T1=60 T2=71 T3=85 T4=80 T5=13 T6=3 17:47:43
T1=38 T2=6 T3=67 T4=10 T5=63 T6=53 17:47:45
T1=67 T2=86 T3=99 T4=44 T5=68 T6=48 17:47:47
T1=43 T2=86 T3=3 T4=63 T5=11 T6=9 17:47:49
